rapport;compen;n;type_pertuB1;type_pertuB;sp_pertu;I_old;I;I_Irecymax;lessi;lambda;D;a2;a3;a4;a5;b2;b3;b4;b5;alpha3;m;Eq_B1;Eq_B2;Eq_B3;Eq_B4;recy_tot;recy_mort;recy_no_convertie;recy_B2;recy_B3;recy_B4;recy_mort_B2;recy_mort_B3;recy_mort_B4;recy_noconvers_B2;recy_noconvers_B3;recy_noconvers_B4;VC_11;VC_21;VC_31;VC_41;VC_12;VC_22;VC_32;VC_42;VC_13;VC_23;VC_33;VC_43;VC_14;VC_24;VC_34;VC_44;R_11;R_21;R_31;R_41;R_12;R_22;R_32;R_42;R_13;R_23;R_33;R_43;R_14;R_24;R_34;R_44;VP;fluxEq_I;fluxEq_mortB1;fluxEq_huntB1;fluxEq_recyB2;fluxEq_recyB3;fluxEq_recyB4;fluxEq_mortB2;fluxEq_mortB3;fluxEq_mortB4;fluxEq_prelB2;fluxEq_prelB3;fluxEq_prelB4;fluxEq_huntB2;fluxEq_huntB3;J11;J12;J13;J14;J21;J22;J23;J24;J31;J32;J33;J34;J41;J42;J43;J44;J_inverse11;J_inverse12;J_inverse13;J_inverse14;J_inverse21;J_inverse22;J_inverse23;J_inverse24;J_inverse31;J_inverse32;J_inverse33;J_inverse34;J_inverse41;J_inverse42;J_inverse43;J_inverse44;supp
0.0;1.0;3.0;1.0;1.0;4.0;0.1;0.1;0.0037915252072517223;0.1;1.0;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.0000000021691622;13.187305149789935;1.4495498488029133;4.798199395323526;26.37461035699793;21.846398370904012;4.528211986093919;18.70923222634661;4.18776352658892;3.4776146040624027;18.70923222634661;0.3550744612967462;2.782091683260658;0.0;3.8326890652921746;0.6955229208017446;0.012795923602853344;0.186263126642784;0.017492359967627664;0.07123255775277032;0.186263126642784;2.7643746257457886;0.23962291947321498;1.0359195683741662;0.017492359967627664;0.2396229194732149;0.030868569490219024;0.0899150768103248;0.07123255775277028;1.035919568374166;0.08991507681032464;0.4196377996730588;1.0;0.9903589269727161;0.8801452200586022;0.972087635244306;0.9903589269727161;1.0;0.8202980029304603;0.9618122128984762;0.8801452200586022;0.8202980029304601;1.0;0.7900179646733335;0.9720876352443054;0.961812212898476;0.7900179646733321;1.0;-0.004451634082987198;0.1;0.10000000021691623;26.37461035679068;18.70923222634661;4.18776352658892;3.4776146040624027;18.70923222634661;0.3550744612967462;2.782091683260658;26.37461035679068;3.8326890652921746;2.782091683206979;7.665378130584348;3.4776146040087235;-26.474610299579872;1.0280957703046472;3.5137845918258175;1.2045948639449966;26.37461029957987;-1.3187305149896313;-5.288109365065765;0.0;0.0;0.2906347446849841;-0.14495498488946346;-0.7247749244014566;0.0;0.0;1.9192797581294105;-0.47981993954353996;-9.99999999999983;-9.99999999999983;-9.99999999999983;-9.999999999999831;-144.62785015704557;-145.17621029778044;-143.67524296099606;-146.06677703690366;-13.808516170021036;-13.860871507268392;-14.046074074274697;-13.449681536637081;-55.23406467879633;-55.44348602778087;-56.18429629578882;-55.88284128430074;
0.0;1.0;3.0;1.0;1.0;4.0;0.1;2.7374610356997926;0.10379152520725171;0.1;0.9;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.0000000021393418;13.18730514921715;1.4495498487704945;4.798199395081978;23.73714931937274;19.661758532160697;4.075390787212045;16.838309002300768;3.7689871736916825;3.1298531433802923;16.838309002300768;0.3195670151556953;2.503882514704234;0.0;3.449420158535987;0.6259706286760582;8.901701001683439e-05;0.0014560146293532154;8.395351480159587e-05;0.0009548329981487191;0.0014560146293532154;0.08742854830626406;-0.014540712149426371;0.019496269571387507;8.395351480159563e-05;-0.014540712149426363;0.006576383897692298;-0.007146102351458439;0.00095483299814872;0.019496269571387486;-0.007146102351458426;0.031393083032691;1.0;0.5219183947209741;0.1097258119029888;0.5711812383567182;0.5219183947209741;1.0;-0.6064087579228002;0.3721413280340381;0.10972581190298848;-0.6064087579227999;1.0;-0.4973460455489395;0.5711812383567187;0.3721413280340377;-0.4973460455489386;1.0;-0.24826018775700937;2.7374610356997926;0.10000000021393418;26.374610354858604;16.838309002300768;3.7689871736916825;3.1298531433802923;18.70923222477863;0.35507446128410586;2.782091683004704;26.374610354858604;3.832689065039986;2.782091683004704;7.665378130079971;3.47761460375588;-26.4746102984343;0.7252861927910393;3.1624061325123023;1.0841353775041007;26.3746102984343;-1.3187305149217148;-5.288109364836077;0.0;0.0;0.29063474467848416;-0.1449549848770494;-0.7247749243852473;0.0;0.0;1.9192797580327914;-0.4798199395081978;-0.17761932431414426;-0.1403775203043654;-0.1936976812554313;-0.10874114774245158;-2.5688701022188525;-2.578610037987198;-1.8488007260058983;-3.011626722130061;-0.24526593118803802;-0.24619586315068245;-0.5050256606241216;0.20867924371097987;-0.9810637247521522;-0.9847834526027299;-2.0201026424964863;-1.2493981643163505;
0.0;1.0;3.0;1.0;1.0;4.0;0.1;5.374922071399585;0.20379152520725166;0.1;0.8;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.0000000021585111;13.187305149494394;1.449549848796965;4.79819939518786;21.099688284734945;17.477118695959124;3.6225695887758214;14.967385780430064;3.3502108211879826;2.7820916831169002;14.967385780430064;0.2840595690355415;2.22567334649352;0.0;3.066151252152441;0.5564183366233799;2.7782898620731903e-05;-0.0003154731240281881;0.00015757441416311283;0.00044192803484959604;-0.00031547312402818814;0.05737113723671586;-0.01588044880730165;0.012177198630980202;0.00015757441416311267;-0.01588044880730165;0.006665570166943622;-0.007701174005116687;0.0004419280348495963;0.01217719863098021;-0.007701174005116687;0.029172796419381496;1.0;-0.24987733187428862;0.3661662158267808;0.49087819983254866;-0.24987733187428868;1.0;-0.8120773368027342;0.29765393625090736;0.36616621582678044;-0.8120773368027342;1.0;-0.5522672034818079;0.490878199832549;0.2976539362509075;-0.5522672034818079;1.0;-0.49243677382028656;5.374922071399585;0.10000000021585112;26.37461035591868;14.967385780430064;3.3502108211879826;2.7820916831169002;18.709232225537576;0.3550744612944269;2.7820916831169002;26.37461035591868;3.832689065190552;2.7820916831169002;7.665378130381104;3.477614603896125;-26.47461029898879;0.4224766153491144;2.811027673401444;0.9636758911338149;26.374610298988788;-1.3187305149494397;-5.288109364947252;0.0;0.0;0.29063474468379147;-0.14495498487969685;-0.7247749243984825;0.0;0.0;1.919279758075144;-0.479819939518786;-0.08960544508585803;-0.05202993423444611;-0.10582787285985382;-0.02011008254884288;-1.2959442885277528;-1.300857893975707;-0.577958577812718;-1.7297746804759397;-0.12373182373800684;-0.12420095606768057;-0.38369049361205937;0.3310655933912924;-0.49492729495202736;-0.4968038242707223;-1.5347619744482375;-0.7598527655491104;
0.0;1.0;3.0;1.0;1.0;4.0;0.1;8.01238310709938;0.3037915252072517;0.1;0.7;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.0000000021649775;13.187305149587914;1.4495498488058938;4.798199395223575;18.462227249393386;15.292478859172366;3.1697483902210184;13.09646255805551;2.931434468577474;2.4343302227604022;13.09646255805551;0.24855212290853584;1.947464178208322;0.0;2.682882345668938;0.4868660445520803;3.3885190973650215e-05;-0.0009254944392633745;0.00031504517050821737;0.00027626098907671334;-0.0009254944392633747;0.04449704963490421;-0.015712453471364515;0.009928644533553374;0.0003150451705082176;-0.015712453471364515;0.007005082047978367;-0.007701710251612835;0.0002762609890767131;0.009928644533553377;-0.007701710251612839;0.029170651433843342;1.0;-0.7537081940499235;0.6466380326324112;0.27786991590126553;-0.7537081940499237;1.0;-0.8899626558084006;0.275582280903141;0.6466380326324116;-0.8899626558084006;1.0;-0.538775078392333;0.2778699159012653;0.27558228090314113;-0.5387750783923333;1.0;-0.5496478343373583;8.01238310709938;0.10000000021649776;26.374610356276268;13.09646255805551;2.931434468577474;2.4343302227604022;18.709232225793585;0.3550744612979084;2.782091683154746;26.374610356276268;3.8326890652413406;2.782091683154746;7.66537813048268;3.477614603943432;-26.47461029917583;0.1196670378922603;2.459649214243139;0.843216404747713;26.374610299175828;-1.3187305149587916;-5.288109364984754;0.0;0.0;0.2906347446855817;-0.1449549848805893;-0.7247749244029469;0.0;0.0;1.91927975808943;-0.47981993952235746;-0.05991592315557316;-0.022227843733390987;-0.07618695001626558;0.009787633320996013;-0.8665511156262036;-0.8698366660316754;-0.14926828305989698;-1.2973704433743038;-0.08273499937288273;-0.0830486912092147;-0.34276077737292127;0.37234990269182644;-0.33093999749153097;-0.33219476483685884;-1.3710431094916853;-0.594715528331461;
0.0;1.0;3.0;1.0;1.0;4.0;0.1;10.649844142799173;0.40379152520725176;0.1;0.6;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.0000000021682256;13.187305149634888;1.4495498488103786;4.7981993952415145;15.824766213873527;13.107839022237354;2.7169271916361737;11.225539335553306;2.5126581159399044;2.0865687623803164;11.225539335553306;0.2130446767797942;1.6692550099042531;0.0;2.2996134391601104;0.4173137524760631;5.030466087270692e-05;-0.0012175784193463651;0.0004663822199532665;0.0001737041746635662;-0.0012175784193463653;0.03684108427569753;-0.015260013132824145;0.008603655486407683;0.00046638221995326637;-0.015260013132824145;0.007395477649954384;-0.007598360796253359;0.00017370417466356576;0.008603655486407687;-0.007598360796253362;0.029584049255505493;1.0;-0.8943893669676433;0.7646360295654617;0.14238929338765802;-0.8943893669676435;1.0;-0.9244971808543508;0.2606081549584358;0.7646360295654615;-0.9244971808543508;1.0;-0.5136981345217679;0.14238929338765766;0.2606081549584359;-0.5136981345217682;1.0;-0.5690937961318984;10.649844142799173;0.10000000021682257;26.374610356455882;11.225539335553306;2.5126581159399044;2.0865687623803164;18.709232225922175;0.35507446129965703;2.782091683173755;26.374610356455882;3.832689065266851;2.782091683173755;7.665378130533702;3.4776146039671936;-26.474610299269777;-0.18314253956837592;2.1082707550728133;0.7227569183576045;26.374610299269776;-1.3187305149634885;-5.28810936500359;0.0;0.0;0.29063474468648093;-0.14495498488103778;-0.7247749244051893;0.0;0.0;1.919279758096606;-0.4798199395241515;-0.045004354302379077;-0.007259737291020831;-0.06129979006494513;0.024803767625655834;-0.6508883010531734;-0.6533561604591235;0.06604151080991383;-1.0801953211512585;-0.06214433541007681;-0.062379957224787744;-0.3222038184810016;0.39308495602602855;-0.24857734164030723;-0.24951982889915097;-1.2888152739240064;-0.5117753149868604;
0.0;1.0;3.0;1.0;1.0;4.0;0.1;13.287305178498965;0.5037915252072517;0.1;0.5;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.0000000021701785;13.187305149663139;1.4495498488130758;4.798199395252304;13.18730517828195;10.923199185242705;2.264105993039245;9.354616112999755;2.093881763291451;1.7388073019907426;9.354616112999755;0.17753723065035434;1.3910458415925941;0.0;1.9163445326410966;0.34776146039814837;6.685682223583024e-05;-0.0013754496611526681;0.0005960193584353588;9.042678568321021e-05;-0.0013754496611526681;0.03174485553676313;-0.014776520887734785;0.007550069007167038;0.000596019358435359;-0.014776520887734792;0.0077725349693413374;-0.007479891869849911;9.042678568320935e-05;0.007550069007167046;-0.007479891869849922;0.030057924961254125;1.0;-0.9441373050850516;0.8268108329494316;0.06378884381122385;-0.9441373050850516;1.0;-0.9407065591485413;0.24441887768840878;0.8268108329494319;-0.9407065591485417;1.0;-0.4893667742473525;0.06378884381122324;0.24441887768840903;-0.4893667742473532;1.0;-0.5784948386021945;13.287305178498965;0.10000000021701785;26.37461035656389;9.354616112999755;2.093881763291451;1.7388073019907426;18.70923222599951;0.3550744613007087;2.7820916831851883;26.37461035656389;3.832689065282193;2.782091683185188;7.665378130564386;3.4776146039814844;-26.47461029932628;-0.4859521170305321;1.7568922958976527;0.6022974319658843;26.374610299326278;-1.3187305149663144;-5.288109365014919;0.0;0.0;0.2906347446870217;-0.1449549848813075;-0.7247749244065379;0.0;0.0;1.9192797581009218;-0.4798199395252305;-0.036035918907072084;0.001742702153150567;-0.05234603519465052;0.03383509301632671;-0.5211797480021648;-0.5231558141585452;0.1955377425819758;-0.9495772036144171;-0.04976025689258766;-0.04994892416132777;-0.3098400115897721;0.4055558762945016;-0.1990410275703506;-0.19979569664531105;-1.2393600463590881;-0.4618916339082816;
0.0;1.0;3.0;1.0;1.0;4.0;0.1;15.92476621419876;0.6037915252072518;0.1;0.3999999999999999;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.000000002171483;13.187305149681999;1.4495498488148766;4.798199395259506;10.5498441426544;8.738559348218145;1.8112847944362558;7.483692890420453;1.6751054106375383;1.3910458415964095;7.483692890420453;0.1420297845205643;1.1128366732771278;0.0;1.533075626116974;0.27820916831928183;8.13128625086412e-05;-0.0014657192972842798;0.0007032347721327794;1.70532604260908e-05;-0.0014657192972842802;0.028159046369455244;-0.014332526761880507;0.0066252423533071;0.0007032347721327794;-0.014332526761880508;0.008114061080463576;-0.007370155447606797;1.7053260426090484e-05;0.006625242353307103;-0.0073701554476068;0.03049687065031664;1.0;-0.9686395760111866;0.8657680911363904;0.010829294401521618;-0.9686395760111869;1.0;-0.9481884341736044;0.22608156934484042;0.8657680911363904;-0.9481884341736045;1.0;-0.4685218750530249;0.010829294401521417;0.22608156934484053;-0.4685218750530251;1.0;-0.5786779373374861;15.92476621419876;0.1000000002171483;26.374610356636015;7.483692890420453;1.6751054106375383;1.3910458415964095;18.70923222605114;0.35507446130141085;2.78209168319282;26.374610356636015;3.8326890652924357;2.78209168319282;7.665378130584871;3.4776146039910247;-26.474610299364;-0.7887616944934531;1.4055138367200664;0.4818379455733554;26.374610299363997;-1.3187305149681996;-5.288109365022482;0.0;0.0;0.29063474468738276;-0.1449549848814876;-0.7247749244074383;0.0;0.0;1.9192797581038026;-0.4798199395259506;-0.030047979198214336;0.007753345286349526;-0.04636789720647131;0.03986502237933586;-0.4345774633049882;-0.4362251747152132;0.28199826709900977;-0.8623676315741986;-0.041491800663166746;-0.041649117871619165;-0.3015850900819042;0.41388231400521586;-0.16596720265266698;-0.1665964714864767;-1.2063403603276168;-0.4285858830622967;
0.0;1.0;3.0;1.0;1.0;4.0;0.1;18.562227249898555;0.7037915252072519;0.1;0.29999999999999993;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.0000000021724156;13.187305149695488;1.4495498488161647;4.798199395264658;7.912383107006275;6.553919511176476;1.358463595829799;5.612769667826418;1.2563290579805022;1.0432843811993542;5.612769667826418;0.10652233839057391;0.8346275049594835;0.0;1.1498067195899282;0.2086568762398708;9.344675791202519e-05;-0.0015186665416590168;0.0007910455355590193;-4.880023400754511e-05;-0.0015186665416590172;0.025545007341087233;-0.013944722736725083;0.005793146698270585;0.000791045535559019;-0.013944722736725075;0.008415057698923669;-0.007274845357211493;-4.880023400754514e-05;0.005793146698270585;-0.007274845357211493;0.03087811101196226;1.0;-0.9829406363025929;0.8920533235234872;-0.02872859740354041;-0.9829406363025932;1.0;-0.9511046799158023;0.2062700377796388;0.8920533235234869;-0.9511046799158017;1.0;-0.4513046982362772;-0.02872859740354043;0.2062700377796388;-0.4513046982362772;1.0;-0.5733060646724147;18.562227249898555;0.10000000021724156;26.37461035668759;5.612769667826418;1.2563290579805022;1.0432843811993542;18.709232226088066;0.35507446130191306;2.7820916831982787;26.37461035668759;3.832689065299762;2.782091683198279;7.6653781305995246;3.4776146039978486;-26.474610299390978;-1.0915712719568096;1.054135377541093;0.3613784591803643;26.374610299390977;-1.318730514969549;-5.288109365027891;0.0;0.0;0.29063474468764106;-0.1449549848816164;-0.7247749244080823;0.0;0.0;1.9192797581058632;-0.4798199395264656;-0.02576647117544282;0.012051086754711227;-0.042093397628634496;0.0441765539243643;-0.372654933227938;-0.3740678638039647;0.34381943554282685;-0.8000108777477825;-0.035579673386762656;-0.035714574615569;-0.2956826404278097;0.4198358993104909;-0.14231869354705068;-0.14285829846227605;-1.1827305617112391;-0.4047715418389589;
0.0;1.0;3.0;1.0;1.0;4.0;0.1;21.19968828559835;0.8037915252072518;0.1;0.19999999999999996;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.0000000021731155;13.187305149705612;1.449549848817131;4.798199395268524;5.274922071345257;4.369279674124087;0.9056423972211705;3.7418464452231546;0.8375527053215097;0.6955229208005936;3.7418464452231546;0.07101489226045796;0.5564183366404749;0.0;0.7665378130610517;0.13910458416011873;0.00010355234415895661;-0.0015498210241377763;0.0008630219484518584;-0.00010803401475213901;-0.001549821024137776;0.023588050909498295;-0.013612087628990976;0.00504158308421484;0.0008630219484518582;-0.013612087628990972;0.008677425870570295;-0.007193932313339437;-0.00010803401475213887;0.005041583084214837;-0.007193932313339435;0.0312017631874988;1.0;-0.9916434611010455;0.9104297012392096;-0.06010228452331813;-0.9916434611010453;1.0;-0.9514440442006501;0.1858366347034942;0.9104297012392094;-0.9514440442006499;1.0;-0.43720117752282395;-0.060102284523318054;0.18583663470349412;-0.43720117752282384;1.0;-0.5658166878524451;21.19968828559835;0.10000000021731155;26.374610356726297;3.7418464452231546;0.8375527053215097;0.6955229208005936;18.709232226115777;0.35507446130228987;2.7820916832023754;26.374610356726297;3.8326890653052597;2.7820916832023754;7.665378130610518;3.4776146040029694;-26.474610299411225;-1.3943808494204397;0.7027569183612506;0.24091897278708355;26.374610299411223;-1.3187305149705613;-5.288109365031951;0.0;0.0;0.2906347446878348;-0.14495498488171257;-0.7247749244085655;0.0;0.0;1.9192797581074097;-0.4798199395268524;-0.02255292614501396;0.015276816022125161;-0.038885112883430224;0.04741263352444278;-0.32617812231404086;-0.32741483488954887;0.3902201680817643;-0.7532081541964585;-0.031142244535221533;-0.03126032114064503;-0.2912524752494685;0.42430444505868176;-0.12456897814088613;-0.12504128456258012;-1.165009900997874;-0.3868973588445159;
0.0;1.0;3.0;1.0;1.0;4.0;0.1;23.83714932129814;0.9037915252072518;0.1;0.09999999999999998;0.1;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;1.0000000021736601;13.187305149713488;1.449549848817883;4.798199395271532;2.6374610356756403;2.1846398370645477;0.45282119861109266;1.8709232226137333;0.41877635266121194;0.3477614604006953;1.8709232226137333;0.0355074461302583;0.27820916832055625;0.0;0.38326890653095363;0.06955229208013904;0.00011201122656153522;-0.0015677599625955267;0.0009223499041239499;-0.00016127842240045567;-0.0015677599625955267;0.022090856415575587;-0.013328193433288307;0.004363108948139679;0.0009223499041239495;-0.013328193433288307;0.008905451448509535;-0.00712569585645052;-0.00016127842240045519;0.004363108948139671;-0.007125695856450517;0.031474709015092084;1.0;-0.9966496448845115;0.9235001288227117;-0.0858943560753725;-0.9966496448845115;1.0;-0.9502481669130972;0.16546605751488785;0.9235001288227113;-0.9502481669130972;1.0;-0.4256164936700268;-0.08589435607537224;0.16546605751488758;-0.4256164936700266;1.0;-0.5581429032559659;23.83714932129814;0.10000000021736602;26.374610356756417;1.8709232226137333;0.41877635266121194;0.3477614604006953;18.70923222613734;0.3550744613025831;2.782091683205563;26.374610356756417;3.832689065309537;2.782091683205563;7.665378130619073;3.4776146040069538;-26.474610299426978;-1.6971904268842521;0.35137845918082833;0.12045948639360946;26.374610299426976;-1.3187305149713486;-5.288109365035109;0.0;0.0;0.29063474468798556;-0.14495498488178823;-0.7247749244089415;0.0;0.0;1.919279758108613;-0.4798199395271532;-0.020052070271777613;0.017787153953442696;-0.0363883506871376;0.04993102632662377;-0.2900087814637577;-0.2911083570714021;0.4263303029619916;-0.7167851805121083;-0.027688933658801627;-0.027793916948960055;-0.2878048171333525;0.42778197183156697;-0.11075573463520652;-0.11117566779584023;-1.15121926853341;-0.37298725175166875;
