rapport;compen;n;type_pertuB1;type_pertuB;sp_pertu;I_old;I;I_Irecymax;lessi;lambda;D;a2;a3;a4;a5;b2;b3;b4;b5;alpha3;m;Eq_B1;Eq_B2;Eq_B3;recy_tot;recy_mort;recy_no_convertie;recy_B2;recy_B3;recy_mort_B2;recy_mort_B3;recy_noconvers_B2;recy_noconvers_B3;VC_11;VC_21;VC_31;VC_12;VC_22;VC_32;VC_13;VC_23;VC_33;R_11;R_21;R_31;R_12;R_22;R_32;R_13;R_23;R_33;VP;fluxEq_I;fluxEq_mortB1;fluxEq_huntB1;fluxEq_recyB2;fluxEq_recyB3;fluxEq_mortB2;fluxEq_mortB3;fluxEq_prelB2;fluxEq_prelB3;fluxEq_huntB2;J11;J12;J13;J21;J22;J23;J31;J32;J33;J_inverse11;J_inverse12;J_inverse13;J_inverse21;J_inverse22;J_inverse23;J_inverse31;J_inverse32;J_inverse33;supp
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.05;0.10000000000002188;0.1;1.0;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.49999999999987726;0.5000000000000236;2.249999999999388;0.49999999999989064;0.2749999999999412;0.22499999999994946;0.05000000000000237;0.44999999999988827;0.05000000000000237;0.2249999999999388;0.0;0.22499999999994946;0.011141826923071047;-0.0028124999999998143;0.054951923076894234;-0.00281249999999982;0.0009615384615386088;-0.014062499999999107;0.054951923076894234;-0.014062499999999076;0.27692307692293205;1.0;-0.8592726660166059;0.9892934126489877;-0.8592726660166077;1.0;-0.8617863895712095;0.9892934126489877;-0.8617863895712075;1.0;-0.017264287931897288;0.05;0.04999999999998773;0.4999999999999009;0.05000000000000237;0.44999999999988827;0.05000000000000237;0.2249999999999388;0.4999999999999009;0.22499999999994946;0.44999999999989887;-1.1000000000000474;-0.44999999999987694;0.20000000000000473;1.0000000000000473;-6.938893903907228e-16;-0.20000000000000948;0.0;0.4499999999998776;4.73232564246473e-15;-9.999999999999986;-9.999999999999986;-9.999999999999988;5.258139602740011e-13;5.783953563013988e-13;2.2222222222233525;-49.99999999999993;-54.99999999999969;-49.99999999999994;
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.05499999999999891;0.11000000000002189;0.1;0.99;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.5000000000013676;0.4999999999997125;2.250000000006811;0.49500000000119204;0.2722500000006458;0.2227500000005462;0.04949999999997154;0.4455000000012205;0.04949999999997154;0.2227500000006743;0.0;0.2227500000005462;0.010308345071228452;-0.002812500000001978;0.05079841327446193;-0.0028125000000019757;0.0010055706176376922;-0.014062500000009822;0.05079841327446193;-0.014062500000009836;0.25625460026200586;1.0;-0.8735580488246646;0.9883706437677953;-0.8735580488246639;1.0;-0.8760328919467675;0.9883706437677953;-0.8760328919467683;1.0;-0.018852933957010626;0.05499999999999891;0.05000000000013676;0.50000000000108;0.04949999999997154;0.4455000000012205;0.049999999999971255;0.2250000000006811;0.50000000000108;0.22500000000055176;0.45000000000110346;-1.099999999999425;-0.4555000000013866;0.19799999999994308;0.999999999999425;1.074140776324839e-14;-0.19999999999988502;0.0;0.4500000000013622;-5.74956748877753e-14;-9.090909090909042;-8.999999999999893;-9.202020202020092;-5.8076439280404986e-12;-6.3884083208448824e-12;2.222222222209617;-45.45454545454521;-50.00000000000234;-46.01010101010035;
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.059999999999997826;0.1200000000000219;0.1;0.98;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.49999999999955114;0.5000000000000974;2.249999999997766;0.48999999999961463;0.26949999999979063;0.220499999999824;0.04900000000000954;0.44099999999960504;0.04900000000000954;0.22049999999978107;0.0;0.220499999999824;0.009612226240952615;-0.0028124999999992717;0.04733105288291057;-0.00281249999999927;0.0010488409205449236;-0.01406249999999637;0.04733105288291058;-0.014062499999996385;0.2390151564857751;1.0;-0.8857797091502814;0.9874644120191519;-0.8857797091502808;1.0;-0.8881677574835366;0.9874644120191521;-0.8881677574835376;1.0;-0.020417515188725102;0.059999999999997826;0.049999999999955115;0.4999999999996485;0.04900000000000954;0.44099999999960504;0.05000000000000974;0.2249999999997766;0.4999999999996485;0.2249999999998204;0.44999999999964085;-1.1000000000001948;-0.46099999999954017;0.1960000000000191;1.0000000000001947;-4.135580766728708e-15;-0.20000000000003895;0.0;0.4499999999995532;1.9470536294363683e-14;-8.333333333333366;-8.166666666666735;-8.537037037037107;1.802827434665101e-12;1.9831101781315763e-12;2.2222222222262755;-41.66666666666683;-45.8333333333327;-42.68518518518558;
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.06499999999999674;0.1300000000000219;0.1;0.97;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.49999999999961603;0.500000000000087;2.2499999999980895;0.4849999999996758;0.26674999999982313;0.21824999999985267;0.048500000000008446;0.4364999999996674;0.048500000000008446;0.2182499999998147;0.0;0.21824999999985267;0.009021827559604057;-0.0028124999999993437;0.04439164466786963;-0.0028124999999993437;0.001091368973270661;-0.014062499999996739;0.04439164466786962;-0.014062499999996736;0.22441380352920365;1.0;-0.8963125320767438;0.9865729217635468;-0.8963125320767438;1.0;-0.8985700738926563;0.9865729217635466;-0.8985700738926561;1.0;-0.021958304152917378;0.06499999999999674;0.0499999999999616;0.49999999999970307;0.048500000000008446;0.4364999999996674;0.050000000000008704;0.22499999999980896;0.49999999999970307;0.22499999999984813;0.44999999999969625;-1.1000000000001742;-0.46649999999960273;0.19400000000001688;1.000000000000174;-3.802513859341161e-15;-0.20000000000003482;0.0;0.44999999999961793;1.740274591099933e-14;-7.6923076923077165;-7.461538461538529;-7.974358974359041;1.4874141804285606e-12;1.6361555984713909e-12;2.222222222225651;-38.46153846153858;-42.307692307691774;-39.87179487179525;
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.06999999999999565;0.1400000000000219;0.1;0.96;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.49999999999989314;0.5000000000000198;2.249999999999468;0.4799999999999083;0.26399999999995083;0.21599999999995748;0.048000000000001895;0.4319999999999064;0.048000000000001895;0.21599999999994893;0.0;0.21599999999995748;0.008514545197203151;-0.0028124999999997076;0.04186718602564633;-0.002812499999999706;0.0011331737120212578;-0.014062499999998526;0.04186718602564634;-0.014062499999998548;0.21188557098027855;1.0;-0.9054480923169433;0.9856945447502783;-0.9054480923169428;1.0;-0.907535450134521;0.9856945447502784;-0.9075354501345224;1.0;-0.02347557945855844;0.06999999999999565;0.04999999999998932;0.4999999999999129;0.048000000000001895;0.4319999999999064;0.05000000000000198;0.2249999999999468;0.4999999999999129;0.2249999999999557;0.44999999999991136;-1.1000000000000396;-0.47199999999988845;0.1920000000000038;1.0000000000000395;-9.159339953157541e-16;-0.20000000000000792;0.0;0.4499999999998936;3.95516952522712e-15;-7.142857142857147;-6.857142857142873;-7.492063492063511;3.13902343272068e-13;3.4529257759927357e-13;2.2222222222230767;-35.71428571428573;-39.285714285714164;-37.46031746031756;
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.07499999999999456;0.15000000000002192;0.1;0.95;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.5000000001947631;0.49999999994691613;2.2500000009693384;0.47500000015643795;0.2612500000870442;0.2137500000693938;0.047499999994957035;0.42750000016148093;0.047499999994957035;0.21375000009208714;0.0;0.2137500000693938;0.008073801429043792;-0.0028125000002652695;0.03967480431993123;-0.002812500000265268;0.0011742734338882805;-0.014062500001315823;0.03967480431993123;-0.014062500001315833;0.20101613682794414;1.0;-0.9134165606681748;0.984827801818337;-0.9134165606681743;1.0;-0.9152978799561399;0.984827801818337;-0.9152978799561405;1.0;-0.024969625166980702;0.07499999999999456;0.05000000001947631;0.5000000001416792;0.047499999994957035;0.42750000016148093;0.04999999999469162;0.22500000009693386;0.5000000001416792;0.2250000000730461;0.4500000001460922;-1.0999999998938323;-0.47750000020535194;0.18999999998991407;0.9999999998938323;1.7907619831447619e-12;-0.19999999997876647;0.0;0.4500000001938677;-1.0616771350946408e-11;-6.666666666640449;-6.333333333269104;-7.074074074015669;-7.864275071356123e-10;-8.65070257857523e-10;2.2222222204303637;-33.33333333320224;-36.66666666687636;-35.370370370058446;
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.07999999999999347;0.16000000000002193;0.1;0.94;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.4999999999992422;0.5000000000002089;2.2499999999962395;0.469999999999401;0.25849999999966616;0.21149999999973487;0.047000000000019644;0.42299999999938137;0.047000000000019644;0.2114999999996465;0.0;0.21149999999973487;0.007687161509047687;-0.0028124999999988437;0.03775234127636712;-0.0028124999999988415;0.0012146858256226903;-0.014062499999994276;0.03775234127636712;-0.014062499999994283;0.1914947494894788;1.0;-0.9204019845049612;0.9839713469670995;-0.9204019845049605;1.0;-0.922045002407835;0.9839713469670995;-0.9220450024078355;1.0;-0.026440730186158747;0.07999999999999347;0.04999999999992422;0.49999999999945116;0.047000000000019644;0.42299999999938137;0.050000000000020896;0.22499999999962395;0.49999999999945116;0.22499999999971798;0.44999999999943596;-1.100000000000418;-0.48299999999919146;0.18800000000003927;1.0000000000004179;-1.1352030426792226e-14;-0.20000000000008358;0.0;0.4499999999992479;4.178601908932933e-14;-6.250000000000104;-5.875000000000272;-6.7083333333335755;2.9018068812083237e-12;3.1919875693290353e-12;2.222222222229051;-31.25000000000052;-34.37499999999927;-33.541666666668;
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.08499999999999239;0.17000000000002197;0.1;0.9299999999999999;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.4999999999999606;0.4999999999999983;2.2499999999998024;0.46499999999996233;0.25574999999998144;0.2092499999999809;0.04649999999999984;0.4184999999999625;0.04649999999999984;0.20924999999998162;0.0;0.2092499999999809;0.007345115260799945;-0.002812499999999725;0.03605226095096871;-0.0028124999999997245;0.001254427984864286;-0.014062499999998618;0.03605226095096871;-0.014062499999998623;0.18308376772078794;1.0;-0.926553191858215;0.9831239534179036;-0.9265531918582148;1.0;-0.9279290002195794;0.9831239534179036;-0.9279290002195797;1.0;-0.027889187672272327;0.08499999999999239;0.04999999999999606;0.49999999999995887;0.04649999999999984;0.4184999999999625;0.04999999999999983;0.22499999999998024;0.49999999999995887;0.22499999999997947;0.44999999999995893;-1.0999999999999965;-0.48849999999995797;0.18599999999999967;0.9999999999999966;1.942890293094024e-16;-0.19999999999999932;0.0;0.4499999999999605;-3.469446951953614e-16;-5.8823529411764675;-5.4705882352941115;-6.3856209150326855;-2.2676123868979845e-14;-2.4943736255877834e-14;2.222222222222393;-29.411764705882334;-32.35294117647057;-31.92810457516342;
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.08999999999999123;0.1800000000000218;0.1;0.92;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.5000000001087;0.4999999999649134;2.2500000005383543;0.4600000000813034;0.25300000004630063;0.20700000003500277;0.04599999999677204;0.4140000000845314;0.04599999999677204;0.20700000004952862;0.0;0.20700000003500277;0.007040264694970746;-0.0028125000001279483;0.03453758784674298;-0.002812500000127948;0.0012935164481232215;-0.01406250000062643;0.034537587846742976;-0.014062500000626423;0.17559835124324144;1.0;-0.9319917318075727;0.9822845014265279;-0.9319917318075726;1.0;-0.9330745430818126;0.9822845014265277;-0.933074543081812;1.0;-0.029315294470068153;0.08999999999999123;0.05000000001087001;0.5000000000736134;0.04599999999677204;0.4140000000845314;0.049999999996491344;0.22500000005383544;0.5000000000736134;0.22500000003804646;0.4500000000760929;-1.0999999999298269;-0.4940000001183429;0.1839999999935441;0.9999999999298268;2.0583257320794246e-12;-0.19999999998596538;0.0;0.4500000001076709;-7.017317282809188e-12;-5.555555555536305;-5.111111111058749;-6.098765432056035;-4.331677334015956e-10;-4.764845067447949e-10;2.2222222212149925;-27.777777777681525;-30.555555555644606;-30.4938271602573;
0.0;1.0;2.0;1.0;1.0;3.0;0.05;0.09499999999999015;0.19000000000002185;0.1;0.91;0.0;2.0;0.4;0.2;0.5;1.0;0.5;0.4;0.4;1.0;0.1;0.499999999999125;0.500000000000278;2.249999999995668;0.4549999999993507;0.2502499999996311;0.20474999999971963;0.045500000000025305;0.4094999999993254;0.045500000000025305;0.2047499999996058;0.0;0.20474999999971963;0.006766768226895182;-0.0028124999999987366;0.033179128019725924;-0.0028124999999987335;0.0013319672131170948;-0.014062499999993776;0.03317912801972593;-0.0140624999999938;0.168892566328133;1.0;-0.9368177549879974;0.9814519675585514;-0.9368177549879964;1.0;-0.9375846762864102;0.9814519675585516;-0.9375846762864117;1.0;-0.030719350565663977;0.09499999999999015;0.0499999999999125;0.499999999999403;0.045500000000025305;0.4094999999993254;0.0500000000000278;0.2249999999995668;0.499999999999403;0.2249999999996919;0.4499999999993838;-1.100000000000556;-0.4994999999990384;0.18200000000005062;1.000000000000556;-1.7236212457305555e-14;-0.2000000000001112;0.0;0.4499999999991336;5.5594417958104714e-14;-5.263157894736999;-4.789473684210961;-5.842105263158253;3.2514954499700735e-12;3.5762898125057654e-12;2.2222222222301102;-26.315789473684994;-28.947368421052026;-29.210526315791455;
