n;rapport;compen;typepertuB1;typepertuB;sppertu;I_max;I_min;I_step;l;lam_max;lam_min;lam_step;D;a2;a3;a4;a5;b2;b3;b4;b5;alpha2;alpha3;m;puis10
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;2.51E-05;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-1.6
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;3.16E-05;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-1.5
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;3.98E-05;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-1.4
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;5.01E-05;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-1.3
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;6.31E-05;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-1.2
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;7.94E-05;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-1.1
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;0.0001;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-1
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;0.000125893;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-0.9
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;0.000158489;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-0.8
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;0.000199526;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-0.7
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;0.000251189;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-0.6
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;0.000316228;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-0.5
1;0;1;1;1;1;0.05;0.05;1;0.1;0.9;0;0.45;0.000398107;2;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1;1;0.1;-0.4
